"action.activitystream.comment","コメントを書く"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.paramsmusthaveinputmessage","引数に少なくとも一つのインプット・メッセージが必要です"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.paramsmusthavelogginglevel","引数にログのレベルがなければなりません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.paramsmusthaverouteid","引数にルートIDがなければなりません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.paramsmusthavetimeout","引数にタイムアウトがなければなりません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.paramstringnotonecharlong","引数文字がちょうど１文字ではありません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.parseerrorcreatingresponse","応答を作成中に構文解析エラーが発生: {0}"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.parsewsdlcommandname","WSDLを構文解析"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.parsewsdlforconsumercommandname","コンシューマのWSDLを構文解析します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.parsingcommand","コマンド {0} を構文解析しています"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.permissiondeniedforuserrunningcommand","ユーザーにコマンド ''{0}'' を実行権限がありません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.permissiondeniedforuserwhenrunningcommand","ユーザー ''{0}'' にコマンド''{1}''を実行する権限がありません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.permissiondeniedtorenameengine","Rhapsodyエンジン名を変更する権限がありません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.processingcommand","コマンド{0}処理しています"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.putnotificationschemecommandname","通知スキームをプットします"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.puttingnotificationscheme","GUID ""{1}""の通知スキーム {0} をプットしています "
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.receivedcommandfromuserwhennotrunning","実行停止中にユーザー{1}からコマンド{0}を受信しました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.registeringcommandsource","コマンド・ソースを登録しています"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.registrationfileexistsbutnotreadable","登録ファイル""{0}""は存在するが、解読できないファイルです"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.releasecommpointwritepermissioncommandname","コミュニケーションポイントの書き込み権限をリリースします"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.releasedcheckoutlockforlookup","ルックアップ・テーブル''{0}''のチェックアウトのロックをリリースしました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.releasedcheckoutlockforwebservice","Webサービス''{0}''のチェックアウトのロックをリリースしました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.releasedcheckoutlockforwsuserstore","Webサービス・ユーザー・ストアのチェックアウトのロックをリリースしました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.releasedcommitlockforsession","セッション''{0}''のコミットのロックをリリースしました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.releaselookuptablelockcommandname","ルックアップ・テーブルのロックをリリースしました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.releaseroutewritepermissioncommandname","ルートの書き込み権限をリリースします"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.releasetotalwritepermissioncommandname","トータル書き込み権限をリリースします"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.releasewebservicelockcommandname","Webサービスのロックをリリースします"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.releasewebservicesuserstorelockcommandname","Webサービス・ユーザー・ストアのロックをリリースします"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.removegroupcommandname","グループを消去します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.removeinputcommpointforroutecommandname","ルートのインプット・コミュニケーションポイントを消去します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.removeoutputcommpointforroutecommandname","ルートのインプット・コミュニケーションポイントを消去します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.removeschemecommandname","スキームを消去します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.removeusercommandname","ユーザーを消去します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.removingdeliveryagentsnotsupported","動的に配信エージェントの消去することはサポートされていません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.removinginputcommpoint","ルート''{1}''のインプット・コムポイント ''{0}'' を消去しています"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.removingoutputcommpoint","ルート''{1}''のアウトプット・コムポイント ''{0}'' を消去しています"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.renameconfigfilecommandname","設定ファイル名前の変更"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.renamingfile","{0} から {1} ファイル名前を変更しています"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.replacedefinitioncommandname","定義を置換しています"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.repositorycannotbenull","リポジトリを空値にできません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.requesthadnourlorpathname","WSDL構文解析要求にURLもパス名も提示していません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.responsetokeepalivepingreceived","''{0}'' にアドミン接続からKeep-Alive Ping への応答を受信しました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.restartwebserviceconnectorcommandname","Webサービス・コネクターを再起動します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.revertedcheckedoutdefinition","チェックアウト済みの定義 ''{0}'' を元に戻しました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.rhapsody2modulesshouldberewritten","Rhapsody 2のモジュールはRhapsody 4のフレームワークで書き直す必要があります。これができないなら、サポートに連絡してください"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.rlcloadcommandname","RLC LOAD COMMAND"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.routenotfound","ルート ''{0}'' は見つかりませんでした"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.routenotrunnable","ルート起動エラー：実行不能なルート"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.routenowusingnotificationschemes","ルート ""{0}"" は今通知スキームを使用しています: {1}"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.routepriorityrequiresinteger","値 ''{1}'' が整数ではないため、ルート ''{0}'' の優先度設定はできません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.savefiltermanagerconfigcommandname","フィルタ・マネージャー設定を保存します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.securityerrorgeneratingnewcert","新規証明書を生成中にセキュリティー・エラーが発生"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.securityerrorgeneratingwsdl","WSDLを生成中にセキュリティー・エラーが発生しました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.securityerrorparsingwsdl","WSDLを構文解析中にエラーが発生しました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.sendingevents","イベントを送信中"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.sendingkeepaliveping","アドミン接続の ''{0}'' にKeep-Alive Ping を送信しています"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.sendingresponsetoclientbroadcastrequest","''{0}''のポート{1,number,####}にクライアント・ブロードキャストのリクエストへの応答を送信しています"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.serialisationerroraddingschemeconfig","スキーム設定の追加を試行中に次のシリアル化エラーが発生しました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.servicestartuptime","アドミン・サービスの起動に {0}ms かかります"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.sessioncannotbenull","セッションを空値にできません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.sessionnotset","実行中にエラーが発生、セッションを確立できません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.sessionwaitingforcommitlock","セッション ''{0}'' がコミット・ロックを待っています"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.setcommunicationpointpropertycommandname","コミュニケーションポイントのプロパティを設定します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.setdeliveryagentglobalscommandname","配信エージェント・グローバルを設定します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.setenginenamecommandname","Rhapsodyエンジン名を設定します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.setenginepropertycommandname","エンジン・プロパティを設定します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.setfilterpropertycommandname","フィルタ・プロパティを設定します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.setfirstfilteronroutecommandname","ルート上の最初のフィルタを設定します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.setideregistrationdatacommandname","IDE登録データを設定します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.setideversioncommandname","IDEバージョンを設定します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.setpasswordcommandname","パスワードを設定します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.setpasswordforusercommandname","ユーザーのパスワードを設定します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.setpasswordpolicycommandname","パスワード・ポリシーを設定します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.setpasswordverifiedcommandname","パスワード認証を設定します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.setroutepropertycommandname","ルート・プロパティを設定します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.setsystemvariablescommandname","システム変数を設定します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.setsystemvariablesconfigvaluescommandname","システム変数設定値を設定します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.settingfirstfiltersonroute","コムポイント''{1}''から{2}のルート''{0}''上最初のフィルタを設定しています"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.settingpropertyforfilter","フィルタ''{1}''のプロパティ''{0}''をタイプ''{3}''の値''{2}''に設定しています"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.settingpropertyforroute","ルート{1}のプロパティ{0}をタイプ{3}の値{2}に設定しています"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.shouldregistercommandname","登録が必要"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.shutdownengineusingide","エンジンをシャットダウン（使用中IDEをシャットダウン）"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.shuttingdownmasteradminsocket","マスター・アドミン・ソケットをシャットダウンしています..."
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.startcommunicationpointcommandname","コミュニケーションポイントを起動します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.startedcommpointfromide","コミュニケーション・ポイント ''{0}'' を起動しました（IDEから起動）"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.startednewsocketcommandthread","ここから新規ソケット・コマンド・スレッドを起動しました: {0}"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.startedroutefromide","ルート {0} を起動しました（IDEから起動）"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.startingadminmanager","アドミン・マネージャーを起動しています"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.startingmastersocket","マスター・ソケットを起動しています"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.startroutecommandname","ルートを起動します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.stoppedcommpointfromide","コミュニケーションポイント ''{0}'' を停止しました（IDEから停止）"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.stoppedroutefromide","ルート ''{0}'' を停止しました（IDEから停止）"
